Question,labels
HM-HM SO ALAN YOU SAID THAT YOU PLAY WHEN YOU GET HOME FROM SCHOOL AND YOU ALWAYS HIDE FROM HIM SO TELL ME MORE ABOUT WHEN YOU PLAY WHEN YOU GET HOME FROM SCHOOL TELL ME MORE ABOUT THAT PART,1
: TELL ME WHAT HAPPENED AFTER YOU GOT HOME FROM SCHOOL,2
IT WAS CALLUM AND CAN YOU TELL ME WHO CALLUM IS,2
: WHAT ELSE DO YOU REMEMBER,2
NO OKAY WHAT'S HAPPENED THEN HOW LONG DO YOU THINK HE HAD HIS HAND THERE TOUCHING YOU FOR,2
WHAT HAPPENED THEN,1
NO OKAY AND THIS MR TICKLE GAME JUST HAPPENS DURING BATH TIME DOES IT,3
WHAT HAPPENED THEN,1
AND WHAT DID CALLUM DO AFTER THAT DO YOU KNOW,2
OKAY SO HE PULLS YOUR PANTS DOWN AND THEN HE STICKS THE STICK UP YOUR BUM AND THEN WHAT'S THE VERY NEXT THING THAT HAPPENS JUST SO I CAN REALLY UNDERSTAND WHAT HAPPENED TO YOU ISABELLE,1
OKAY SO TELL ME ABOUT HOW YOU SHOWED HIM,1
OKAY WHY DIDN'T YOU SAY ANYTHING,2
OKAY AND DID HE HAVE ALL OF HIS HAIR ON HIS HEAD,2
HM AND WHAT HAPPENED THEN,1
SO WHAT'S HIS NAME,2
TELL ME MORE ABOUT THE PART WHERE HE PUSHED THE HAND AWAY,1
AND THEN IT'S YOUR TURN YEAH AND WHAT HAPPENS THEN,2
YES OKAY AND WHAT HAPPENED WHEN JACK FOUND YOU BEHIND THE SHED,2
WHO ELSE WAS AROUND WHILE YOU WERE PLAYING HIDE AND SEEK,2
OKAY CAN YOU TELL ME MORE ABOUT THE PART WHERE HE TOUCHED YOUR DOODLE,2
HM-HM AND WHAT HAPPENED THEN,1
AND WHAT WAS UNCLE GEORGE DOING WHEN YOU WERE WATCHING TV,2
: PINK ONES OKAY OKAY AND WHAT ELSE HAPPENED WHEN YOU STARTED CRYING,1
OKAY AND CAN YOU REMEMBER WHAT DAD'S HAND LOOKED LIKE WHEN HE PUNCHED HER IN THE HEAD,2
HM TELL ME MORE ABOUT THAT,1
SMELLY AND GREY HAIR OKAY WHAT HAPPENED WITH THE BAD MAN,2
OKAY YOU'RE DOING VERY WELL JULIAN CAN YOU TELL ME WHAT MUM WHEREABOUTS MUM WAS WHEN DAD PUNCHED HER IN THE HEAD,2
OKAY WHY DID YOU LAUGH,2
OKAY NOW WHEN YOU SAY YOUR PRIVATES EXPLAIN TO ME WHAT YOU MEAN BY THAT,2
YEAH HM-HM SO TELL ME EVERYTHING ABOUT THE BATH WHEN YOU HAD THE BATH,1
ABOUT THE SAME AND JUST TELL ME ABOUT THE OTHER BOY THAT WAS WITH BEN AND THE BLOND BOY CAN YOU JUST TELL ME OR DESCRIBE HIM TO ME,2
YEAH AND SO WHAT ELSE HAPPENED,2
WHAT WAS HE SAYING,2
NO DO YOU HAVE TO PLAY THESE GAMES WITH ANYBODY ELSE,2
ABOUT YOUR STEPDAD SO TELL ME EVERYTHING THAT YOU CAN ABOUT YOUR STEPDAD AND WHAT YOU'VE COME TO TALK TO ME ABOUT,1
WHEN THIS HAPPENED WAS THERE ANYONE ELSE IN THE CLOSET,2
WHAT WAS TOO SORE,2
OKAY ALL RIGHT AND THEN YOU SAID THAT HE FOUND YOU IT TOOK HIM A LONG TIME BUT THEN HE FOUND YOU IS THAT RIGHT,2
AND YOU TOOK YOUR DRESS OFF TELL ME EVERYTHING THAT HAPPENED WHEN YOU TOOK YOUR DRESS OFF BECAUSE I WASN'T THERE AT THE TIME,1
AND HOW OFTEN DO YOU STAY AROUND HIS HOUSE,2
: TELL ME MORE ABOUT HIS BROWN HAIR,1
YEAH TELL ME ABOUT THAT,1
HM-HM SO TELL ME ABOUT WHAT HAPPENED WITH YOUR STEPDAD,1
OKAY TELL ME WHAT YOU MEAN BY YUCKY,1
: TELL ME ABOUT THE BIG STICK,1
NOW ISABELLE I'M JUST GOING TO ASK YOU MORE QUESTIONS ABOUT YOUR BROTHER YOU SAID THAT HE'S DONE THIS YOU PLAYED THIS GAME LOTS OF TIMES WITH HIM HAS HE EVER TALKED TO YOU ABOUT WHAT HE DOES,2
YOU TAKE YOUR TRUCK THERE HAS UNCLE GEORGE MADE YOU PLAY THE BIG BOYS GAME ONE TIME OR MORE THAN ONE TIME,2
TELL ME MORE ABOUT THE PART WHERE YOU SAID YOU HAD TO DO A DARE,1
OKAY TELL ME MORE ABOUT WHEN HE TICKLES YOU,1
OKAY TELL ME MORE ABOUT HIM,1
HOW OLD IS JACK ALAN,2
TELL ME MORE ABOUT THE PART WITH THE HAND ON TOP OF YOUR BATHERS,1
OH WHEN YOU'RE AT SCHOOL DO YOU FEEL DOES CALLUM GO TO THE SAME SCHOOL AS YOU,2
: NO DID SHE DO ANYTHING,2
HM-HM NOW HARRY HAS THIS HAPPENED JUST THIS ONE TIME OR MORE THAN ONE TIME,2
DID YOU TELL ANYONE ELSE,2
WHAT HAPPENED WITH THE BIG BOY GAME,2
YEAH SO THEN WHAT DOES HE STOP OR DO YOU LET HIM KEEP PLAYING,2
HE PUT SOMETHING HARD INTO YOUR BOTTOM AND THEN WHAT HAPPENED DARLING,1
: WHAT HAPPENED,2
OKAY SO WHEN DID YOU LAST HAVE A BATH,2
YEAH OKAY CAN YOU TELL ME WHAT'S HAPPENED,2
HM-HM WHAT HAPPENED THEN,1
OKAY SO MILLIE I HAVEN'T BEEN TO CALLUM'S HOUSE AND I'VE NEVER BEEN THERE SO I DON'T KNOW WHAT HAPPENED THERE TELL ME EVERYTHING THAT HAPPENED WHEN YOU WENT TO CALLUM'S HOUSE START AT THE BEGINNING,0
HM SO WHAT WAS THE SPECIAL PRESENT,2
HOW LONG HAVE YOU BEEN PLAYING TICKLING GAMES FOR,2
HOW DID YOU KNOW THE MAN,2
A NUMBER ONE OKAY AND SO DID HE USE TOILET PAPER TO DO THAT OR DID HE NOT USE TOILET PAPER,2
: TELL ME WHAT CALLUM USED WHEN HE WHIPPED YOU,2
YUCKY OKAY AND SO TELL ME JUST A LITTLE BIT MORE ABOUT STEPHEN SO YOU SAY HE'S YOUR HE LIVES WITH YOU AND YOUR MUM,1
: TELL ME ABOUT WHEN HE PUT HIS HAND BETWEEN YOUR LEGS,1
OKAY AND CAN YOU TELL ME MORE ABOUT YOUR STEPDAD STEPHEN APART FROM WHAT YOU'VE ALREADY TOLD ME THAT HE'S VERY TALL AND HIS NAME IS STEPHEN AND HE GIVES YOU A BATH EVERY NIGHT,2
NO WHEN DID YOU TELL MUM,2
OKAY CAN YOU TELL ME WHEN WAS THE LAST TIME THIS HAPPENED AT THE PARK,2
: TELL ME WHAT HAPPENED AFTER THAT,1
HM EARLIER YOU SAID THAT HE WAS JUMPING ON THE MATTRESS TELL ME MORE ABOUT THAT PART,1
HM-HM TELL ME MORE ABOUT THE RUDE PEOPLE,1
DOES IT OKAY HAVE YOU TOLD ANYBODY,2
OKAY WAS THERE ANYONE ELSE AT HOME BESIDES HIS MUM AND DAD,2
Y YOU COME HERE TO TALK TO ME ABOUT TODAY,2
OKAY AND WHAT DID YOU TELL TAMMY,2
OKAY HOW DOES IT MAKE YOU FEEL WHEN HE DOES THAT,2
: WHERE DID HE GET THAT STICK FROM,2
JACK BROWN OKAY AND ALAN YOU TOLD ME THAT JACK'S TALL AND HE HAS BROWN HAIR AND HE'S OLDER THAN YOU AND THAT HE'S 12 IS THAT RIGHT,2
: WAS THERE ANYBODY ELSE IN THE TOILET AT THE TIME,2
HM-HM SO YOU SAID THAT THERE WAS A NOT NICE PART SO CAN YOU TELL ME A BIT ABOUT THAT,2
OKAY CAN YOU TELL ME MORE OR I'LL REPHRASE THAT TELL ME MORE ABOUT THE BUBBLE POOL,1
YEAH WHEN WAS THAT,2
CAN YOU TELL ME A BIT ABOUT THAT,2
OKAY DID THEY SAY ANYTHING TO BEN,2
HM-HM AND WHAT HAPPENED AFTER THAT,1
WHAT DID YOU WANT TO TELL ME ABOUT JANET'S HOUSE,1
HM-HM WHAT HAPPENED THEN,1
OKAY CAN YOU TELL ME ABOUT WHAT YOU SAID TO YOUR MUM ABOUT YOUR NEIGHBOUR,3
OKAY NOW YOU MENTIONED TELL ME MORE ABOUT THE PART WHERE YOU ARE ON YOUR KNEES,1
OKAY CAN YOU REMEMBER WHEREABOUTS IN THE HEAD DAD PUNCHED MUM,2
SO TELL ME MORE ABOUT THE PART WHERE YOU DO THE RUDE THING,1
WHAT DO YOU MEAN BY ALL THE TIME,2
DOES HE MAKE YOU TOUCH HIS DOODLE ALL THE TIME,2
AND THEN WHAT HAPPENS,1
OKAY AND SO THE OTHER TWO BOYS THEY WERE LAUGHING,2
OKAY AND WHEN HE GRABS YOUR WILLY WHAT DOES HE DO,2
AND WHAT HAPPENED AFTER THAT,1
TELL ME MORE ABOUT THE PART WHEN IT WENT DARK,1
OKAY AND TELL ME MORE ABOUT THAT,1
AND WHAT HAPPENED AFTER YOU MOVED AWAY,1
OKAY AND WHAT HAPPENED THEN,1
OKAY AND WHAT DOES HE DO,2
: WHAT DID SHE LOOK LIKE JESSICA,2
OKAY CAN YOU TELL ME MORE ABOUT WHAT HAPPENED WITH JANET'S GRANDFATHER,2
HM-HM SO TELL ME MORE ABOUT THE PART WHERE HE PUT HIS HAND IN YOUR UNDIES,1
WAS ANYONE ELSE HOME AT THE TIME,2
OKAY AND WHAT HAPPENED AFTER THAT,1
HM-HM TELL ME ABOUT THAT,1
AND THEN WHAT HAPPENED,1
YEAH CAN YOU SHOW ME,2
GREY OKAY AND YOU SAID THAT HIS HAIR WAS GREY CAN YOU REMEMBER WHAT HIS HAIR LOOKED LIKE,2
I WANT TO GO BACK TO THE BIT WHERE JACK MADE YOU TAKE YOUR PANTS OFF ALAN AND TELL ME EVERYTHING YOU REMEMBER ABOUT THAT BIT,1
HM-HM WHAT HAPPENED THEN,1
TELL ME ABOUT YOUR COUSIN,1
HM-HM AND THEN WHAT HAPPENS,1
TELL ME WHEN THAT WAS,2
JESSICA TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
: TELL ME MORE ABOUT WHEN HE SAID HE HAD TO HELP YOU WIPE,1
A BIG GREEN COAT OKAY COULD YOU DO YOU REMEMBER WHAT HE WAS WEARING ON HIS LEGS,2
OKAY AND WHEN YOU SAY THAT HE TICKLES YOUR MINI CAN YOU TELL ME IS THAT ON TOP OR ONSIDE YOUR MINI OR SOMETHING ELSE,2
WHAT DID HE DO WHEN YOU STARTED CRYING,2
SO WHEN YOUR FRIEND'S GRANDFATHER TOUCHED YOU HOW DID YOU FEEL,2
OKAY CAN YOU TELL ME EVERYTHING THAT WAS HAPPENING IN THE BEDROOM,2
WHAT HAPPENED THEN,1
HM-HM AND THEN WHAT HAPPENED,2
NO SO WHERE WAS MUM WHEN IT HAPPENED,2
OKAY THANK YOU AND WHAT HAPPENED AFTER HE GRABBED YOUR ARM NEAR YOUR SHOULDER AND THREW YOU,1
ON PRIVATE OKAY SO LET ME JANET HAS ANYONE EVER TALKED TO YOU THAT IF SOMEBODY TOUCH YOUR PRIVATE PART YOU SHOULD TALK TO MUM AND DAD OR TELL SOMEONE,2
OKAY CAN YOU TELL ME ABOUT THAT,2
LOTS OF TIMES DO OTHER KIDS PLAY YUCKY GAMES WITH THEIR TEACHERS,3
HM-HM,1
OKAY AND WHAT WAS IT THAT WAS HURTING ON YOUR WILLY,2
OKAY TELL ME MORE ABOUT YOU AND JANET SPLASHING ALL OVER,1
OKAY AND WHAT WERE YOU DOING WHEN DAD WAS ANGRY,2
RIGHT HOW MANY TIMES HAVE YOU BEEN OVER TO PLAY WITH JACK DO YOU THINK,2
ON HER CHEEK DID ANYTHING HAPPEN TO MUM'S CHEEK WHEN DAD HIT HER,2
OKAY AND WHERE WERE YOU WHEN HE TOLD YOU TO GO TO YOUR ROOM,2
AND WHO WAS AT CALLUM'S HOUSE THAT TIME,2
: OKAY WHERE WAS THE NEIGHBOUR ON THIS OCCASION WHEN CALLUM WAS LOOKING AFTER YOU,2
OKAY AND WHEN YOU RAN INSIDE WHAT DID YOU DO,2
JUST WITH YOUR BROTHER OKAY SO WHAT HAPPENS WHEN YOU GO WITH YOUR BROTHER WHAT DO YOU GO AND DO THEN,2
OKAY DO YOU HAVE ANY QUESTIONS FOR ME,2
IT'S PLAY EQUIPMENT IS IT IS IT SOMETHING YOU PLAY ON,2
: OKAY AND CAN YOU REMEMBER HOW LONG THIS HAPPENED FOR,2
SO IT'S ALWAYS HAPPENED AT CALLUM'S HOUSE,3
OKAY AND WHAT KIND OF STICK IS THAT,2
OKAY AND WHERE WERE THE TOILETS IN KMART DO YOU REMEMBER,2
: WHAT CAN YOU TELL ME ABOUT THOSE MARKS,2
NO CAN YOU REMEMBER WHICH CHEEK DAD HIT MUM,2
HOW LONG DID HE SQUEEZE YOUR WILLY,1
OKAY AND AFTER YOU GOT SENT HOME DID YOU SPEAK TO ANYBODY DID ANYTHING ELSE HAPPEN,2
DON'T KNOW OKAY AND THIS TIME THAT YOU WENT TO THE PARK WHERE JOHNNY HAS HURT YOU WHEN DID THIS HAPPEN,2
A FEW TIMES IS IT ALWAYS THE SAME,2
YEAH TELL ME MORE ABOUT THAT GAME,1
HM-HM DO YOU WANT TO TELL ME A LITTLE BIT ABOUT WHEN THAT HAPPENED,2
DIDN'T LIKE IT AND WHAT HAPPENED NEXT WHAT HAPPENS AFTER HE DOES THAT,1
A FEW DAYS AGO AND WHAT WAS IT ABOUT THAT HIM CLIMBING INTO YOUR BED THAT YOU HAVE TO TALK TO ME ABOUT,2
OH YOU'RE THE ART MONITOR HOW MANY ART MONITORS IN YOUR CLASS,2
OKAY AND WHAT OKAY WHAT WAS BEN WEARING,2
YEAH SO WHEN WAS THAT,2
YOU HAVEN'T BEEN DO YOU WANT TO GO BACK,2
SO TELL ME WHAT YOU'VE COME TO TALK TO ME ABOUT TODAY,0
SARAH TELL ME WHY YOU HAVE COME IN TO SEE ME TODAY,0
AND WHAT HAPPENS AFTER THAT,1
IN YOUR PRIVATES OKAY AND WHEREABOUTS DID IT REALLY HURT YOU,2
ISABELLE CAN YOU TELL ME ALL THE GOOD THINGS ABOUT WHEN YOU PLAY WITH YOUR BROTHER,2
I WANT TO GO BACK AND TALK A LITTLE BIT MORE ABOUT THE RUDE DARE TELL ME MORE ABOUT THE RUDE DARE,1
OKAY OKAY AND WHAT HAPPENED WHEN JACK CAME OVER,2
CAN YOU TELL ME MORE ABOUT WHERE ON YOUR ARM HE GRABBED YOU,2
YOU KNOW IT WAS POP HOW DID YOU KNOW IT WAS POP,2
CAN YOU TELL ME A LITTLE BIT MORE ABOUT THAT,2
AND WHAT WERE YOU DOING WHEN YOU WERE PLAYING BY YOURSELF,2
AND THEN WHAT HAPPENED,1
HE SQUEEZES IT REALLY HARD AND THEN WHAT HAPPENS,1
AND THEN WHAT HAPPENED AFTER HE SAID THAT,1
: TELL ME MORE ABOUT WHEN HE CAME INTO THE CUBICLE,1
YOU DO A WEE OKAY ALL RIGHT AND WHO DID YOU TELL ABOUT WHAT HAPPENED,2
OH OKAY AND THEN WHAT HAPPENED AFTER THAT,1
NO OKAY JANET THANKS SO MUCH FOR THE INFORMATION WHICH YOU HAVE GIVEN ME BECAUSE ALSO YOUR MUM TOLD ME ABOUT YOUR UNCLE SAM ABOUT THE SITUATION WHAT HAPPENED,3
SO TELL ME SOME MORE ABOUT THE START TELL ME SOME MORE ABOUT THE RUDE PEOPLE,1
AT YOUR HOUSE OKAY AND IS THERE ANYBODY ELSE AROUND WHEN YOU'RE PLAYING THESE GAMES,2
AND YOU SAID THAT YOU DID THAT LOTS OF TIMES,2
RIGHT TELL ME WHAT HAPPENED THEN,1
CAN YOU TELL ME WHAT HAPPENED WHEN THE MAN SPOKE TO YOU BEFORE,2
ON YOUR BACK HOW DID IT MAKE YOU FEEL WHEN HE HIT YOU,2
YEAH WHAT IS IT THAT YOU'VE COME TO TALK TO ME ABOUT TODAY,2
AND YOU TOLD ME THAT IT HURT YEAH,2
OKAY ALAN YOU'VE TOLD M E LOTS OF THINGS THERE I'D LIKE TO ASK YOU SOME MORE QUESTIONS ABOUT WHEN YOU PLAY HIDE AND SEEK TELL ME WHEREABOUTS YOU ARE WHEN YOU PLAY HIDE AND SEEK,2
OKAY AND THEN WHAT HAPPENED,1
YEAH AND HOW LONG WERE YOU PLAYING IN YOUR ROOM FOR,2
YEAH WHO DID YOU SPEAK TO,2
OKAY DO YOU KNOW WHEN IN THE NIGHT-TIME,2
OKAY TELL ME AS MUCH AS YOU CAN,1
A LADY IN THE TOILET AND WHAT DID THE LADY DO,2
SOMETIMES OKAY DO YOU HAVE PEOPLE THAT YOU CAN TALK TO ABOUT THESE THINGS,2
DID ANYTHING HAPPEN WHEN HE GRABBED YOU ON TOP OF THE ARM,2
I: HOW DID YOU KNOW HE'D BEEN SWIMMING,2
OKAY SO WHAT DO YOU MEAN HE GOES FIRST,2
WHAT ELSE IS IT THAT YOU WOULD LIKE TO TELL ME,2
:  HI ISABELLE TELL ME WHAT YOU'VE COME TO TALK TO ME ABOUT TODAY,0
PLAY GAMES WHAT SORT OF GAMES,2
OKAY AND WHEN DID MUMMY PICK YOU UP,2
AND HOW OFTEN DO YOU PLAY THE HIDE AND SEEK GAME,2
SOMETIMES IT'S WET AND ISABELLE TELL ME HOW MANY TIMES YOU'VE GONE INTO THE TUNNEL WITH JOHNNY,2
CAN YOU EXPLAIN THAT TO ME,2
HOW OLD ARE YOU,2
: DOES IT TAKE YOU A LONG TIME TO GET TO CALLUM'S HOUSE,2
IN THE POOL OKAY AND CAN YOU TELL ME EVERYTHING THAT HAPPENED FROM THE VERY START TO THE VERY END WHEN POP DOES THE RUDE STUFF,1
AND THEN WHAT HAPPENED,1
THE NURSE HOW DOES THE NURSE MAKE YOU FEEL,2
WHAT WAS THAT,2
OKAY AND WHAT'S YOUR MINI,2
OKAY HOW MANY TIMES HAVE YOU PLAYED THIS GAME IN THE CUPBOARD,2
YEAH AND WHAT WAS THAT ABOUT,2
CAN YOU TELL ME ABOUT CAN YOU DESCRIBE TO ME THE OTHER BOYS YOU SAID YOU DIDN'T KNOW THEIR NAMES BUT COULD YOU DESCRIBE TO ME SOME OF THE OTHER BOYS WHAT THEY LOOKED LIKE,2
HM AND TELL ME HOW HE WIGGLES THEM AROUND,2
HILARY TELL ME WHAT YOU'VE COME TO TALK TO ME ABOUT TODAY,0
HM-HM AND WHAT HAPPENED THEN,1
AND WHEN WAS IT THAT THIS HAPPENED,2
AND TELL ME WHAT HAPPENED AFTER YOU TOLD HIM THAT YOU DIDN'T LIKE IT AND HE LAUGHED AT YOU,1
HILARY TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
HI JULIAN CAN YOU TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,2
WAS THERE ANYBODY ELSE IN THAT HOUSE,2
YOU TOLD MUM OKAY AND WHAT DID MUM DO WHEN YOU TOLD HER,2
NO AND YOU MENTIONED THAT YOU'VE TOLD DAD ABOUT THIS,2
STEPHEN SO WHAT WOULD YOU LIKE TO TELL ME ABOUT STEPHEN,2
YEAH OKAY SOMETHING IN YOUR BOTTOM THEN WHAT HAPPENED,1
WHO DID YOU TELL,2
MILLIE TELL ME ABOUT WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
OKAY AND DOES ANYTHING HAPPEN TO YOUR WILLY,2
OKAY I UNDERSTAND YOU USED TO LIKE GOING FOR WALKS TO THE PARK TELL ME ABOUT THAT,3
OKAY SO AT THAT TIME HE DID JUMP INTO BED WITH YOU,2
THE BAD MAN CAN YOU TELL ME WHY HE'S THE BAD MAN,2
: IN THE TOILET CAN YOU REMEMBER WHAT TOILET,2
OKAY TELL ME WHAT HAPPENED WITH CALLUM,1
: DID YOU GO BACK TO MUM ON YOUR OWN,2
OKAY SO TELL ME A LITTLE BIT MORE ABOUT THE PART WHERE HE WAS TICKLING ON THE OUTSIDE OF YOUR PRIVATES WHAT ELSE DO YOU USE YOUR PRIVATES FOR,2
NO OKAY HOW OFTEN DOES HE COME ROUND,2
JUST POP OKAY AND IS JANET THERE,2
: DID SHE SEE THE MAN,2
OKAY SO START AT THE BEGINNING TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
HE'S YOUR TEACHER HOW LONG AS HE BEEN YOUR TEACHER,2
OKAY DO YOU KNOW THE MAN'S NAME,2
OKAY ABOUT HOW BIG IS THE STICK,2
OKAY WHAT HAPPENED THEN,1
: OKAY NOW YOU TOLD ME A LITTLE BIT ABOUT THE BAD MAN CAN YOU TELL ME ABOUT HIM AGAIN,2
IT'S SORE IS IT HOW DID IT GET SORE,2
SO SARAH CAN YOU TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,2
A LONG TIME WHAT YEAR ARE YOU IN,2
AND THEN WHAT HAPPENED AFTER THAT,1
: AND THEN WHAT HAPPENED,1
TELL ME MORE ABOUT WHAT HAPPENED AFTER THAT,1
OKAY WHERE DOES MARK LIVE,2
OKAY SO YOU SAID THAT HE DID THAT CAN YOU TELL ME WAS THAT WHEN HE WAS YOU WERE WITH HIM WATCHING THE COMPUTER OR WAS IT A DIFFERENT TIME,2
NO AND AFTER HE SQUEEZES IT HARD WHAT HAPPENS THEN,1
AND HOW DOES THAT MAKE YOU FEEL,2
HM AND WHAT HAPPENED AFTER THAT,1
: OKAY AND SO BEFORE YOU WENT INTO THE TOILET WERE YOU ON YOUR OWN WHERE WAS YOUR MUM,2
OKAY AND YOU TOLD ME THAT HIS NAME'S JACK WHAT'S JACK'S OTHER NAME,2
: WHERE DOES MUM WORK,2
WITH YOUR TWO FRIENDS AND DO YOU REMEMBER YOUR TWO FRIENDS' NAMES,2
OKAY DID ANYTHING HAPPEN TO YOUR BACK WHEN YOU FELL ON THE CHAIR,2
WHAT DID WHEN HE TOUCHED TELL ME EXACTLY WHAT WAS HE DOING WITH HIS HAND WHEN HE TOUCH YOU,1
HAVE YOU EVER PLAYED THIS GAME AT SCHOOL BEFORE,2
AND DID YOU SAY ANYTHING TO HIM,2
DID HE SAY ANYTHING TO YOU,2
OKAY SO WHEN YOU SAY US TELL ME WHO US ARE,2
: OKAY IS THERE ANYTHING ELSE THAT YOU CAN REMEMBER ABOUT WHAT HAPPENED THAT DAY AT KMART,2
: TELL ME WHERE YOUR MUM AND DAD WERE WHEN THIS HAPPENED,2
OKAY AND WHERE WERE YOUR BATMAN UNDIES AT THAT STAGE,2
: AND WHAT DID YOU DROP THE CRUMBS FROM,2
ONE OF THE CARERS AND CAN YOU TELL ME A LITTLE BIT ABOUT WHAT ELSE WAS HAPPENING IN THE ROOM WAS THERE ANYONE ELSE,2
TELL ME WHAT HE MAKES YOU DARE,2
HM-HM TELL ME MORE ABOUT WHEN YOU PUT THE PAINTS AWAY,1
: OKAY DID ANYONE ELSE SEE HIM,2
AND WHAT DID YOU SAY TO THE LADY,2
WHAT WAS IN PAIN,2
YEAH OKAY DID YOU TELL ANYBODY AFTER THAT HAPPENED THE LAST TIME,2
NO AND HAVE YOU SEEN THE BOYS BEFORE,2
YEAH AND THEN WHAT HAPPENS AFTER HE GOES FIRST,1
YEAH AND WHAT WERE YOU DOING AT HOME,3
: TELL ME ABOUT THE BAD MAN,1
AND YOU PLAYED THIS GAME THIS HIDE AND SEEK GAME THE OTHER DAY TELL ME MORE ABOUT THE OTHER DAY,1
TELL ME WHERE THE TUNNEL IS AT THE PARK,2
YEAH HOW DO YOU FEEL ABOUT TALKING TO YOUR MUM ABOUT CALLUM HURTING YOU,2
: HOW BIG WAS IT YOU SAID IT WAS BIG HOW BIG IS BIG,2
AND THE GAME WAS CALLED DOCTORS HM TELL ME EVERYTHING ABOUT THE NEW GAME CALLED DOCTORS,1
OKAY CAN YOU REMEMBER IF DAD SAID ANYTHING ELSE,2
OH RIGHT OKAY ALL RIGHT SO DO YOU BOTH GO IN THERE,2
THEN HE SHOWS YOU HIS DOODLE DO YOU HAVE TO PULL YOUR PANTS DOWN,2
ABOUT HIDE AND SEEK I WANT YOU TO TELL ME ALL ABOUT HIDE AND SEEK START FROM THE BEGINNING FOR ME,1
AND WHO IS THAT,2
OKAY ALL RIGHT WHAT ABOUT YOU TELL ME MORE ABOUT PLAYING BARBIES IN THE BATH,1
HM-HM AND THEN WHAT HAPPENED,1
OKAY AND DO YOU KNOW HOW OLD CALLUM IS,2
WHAT ELSE HAPPENED,1
AND WHAT DID MUM SAY,2
OKAY AND THEN WHAT HAPPENS AFTER THAT,1
: AND CAN YOU REMEMBER WHAT HAPPENED NEXT,2
OKAY WHAT HAPPENS THEN,1
AND YOU TOLD HIM YOU DIDN'T LIKE IT AND THEN WHAT HAPPENS,1
JUST ONCE OKAY OKAY AND WHAT HAPPENED WHEN YOU WENT BACK INTO YOUR ROOM,2
YEAH OKAY AND BEFORE YOU WENT TO THE PARK WHAT WERE YOU DOING,2
OKAY THAT'S OKAY SOMETIMES IT'S HARD TO REMEMBER AND I REALLY APPRECIATE YOU SHARING WITH ME WHAT YOU HAVE MILLIE I'M JUST WONDERING BECAUSE I'VE JUST GOT SOME QUESTIONS ABOUT WHAT YOU SHARED WITH ME IS IT OKAY IF I ASK YOU SOME OF THOSE QUESTIONS,2
ISABELLE WHEN YOU WERE RIDING HOME TELL ME MORE ABOUT OR TELL ME HOW YOU FELT WHEN YOU WERE RIDING HOME,2
NO OKAY IS THERE ANYTHING ELSE YOU WANT TO TELL ME,2
OKAY OKAY AND WHERE WAS YOU DON'T KNOW WHAT JACK DID,3
WHAT'S HIS NAME,2
SO HE PUTS DOES HE TOUCH YOU ON THE OUTSIDE OF THE CLOTHING OR DOES HE PUT HIS HANDS DOWN YOUR CLOTHING,2
OKAY I WANT TO GO BACK I KNOW WE'VE ALREADY SPOKEN ABOUT THIS BUT I WANT TO GO BACK A BIT MORE ABOUT THE DARES WHAT ARE ALL THE DARES THAT HAVE HAPPENED DURING THIS GAME,2
OKAY DID ANYTHING ELSE HAPPEN AFTER HE HIT YOU WITH THE STICK,2
HARRY AND IAN AND WHAT GRADE ARE HARRY AND IAN IN,2
AND WHEN YOU SAY DIRTY SPOT WHAT DOES THAT LOOK LIKE WHAT ARE YOU TALKING ABOUT,2
HAS IT EVER HAPPENED ANY OTHER TIME,2
AND WHAT HAPPENED THEN,1
NOW YOU SAY THAT THE SHOW AND TELL GAME MAKES YOU FEEL YUCK CAN YOU TELL ME ANYTHING MORE ABOUT THAT,2
AND THEN WHAT HAPPENED,1
YOU DIDN'T LIKE IT AND WHAT ELSE HAPPENED IN THE BIG BOYS GAME,1
YEAH HOW DO YOU DO THAT,3
OKAY ALL RIGHT NOW YOU MENTIONED IT WAS YOUR BROTHER CAN YOU TELL ME MORE INFORMATION ABOUT YOUR BROTHER,2
OKAY DID YOU SEE YOUR MUM OR DAD,2
OKAY CAN YOU EXPLAIN TO ME SORRY EXPLAIN TO ME WHY THE BED WAS BOUNCING,2
OKAY SO YOU'VE TOLD ME ABOUT THE LAST TIME WHEN YOU STAYED OVER THERE AND HE PUT HIS THING INSIDE YOUR BOTTOM AND YOU'VE TOLD ME ABOUT ANOTHER TIME YOU WERE STAYING AT HIS HOUSE AND YOU WOKE UP AND HE HAD HIS DIRTY SPOT IN HIS HAND DO YOU REMEMBER WHEN THAT WAS,2
WHOSE HOUSE WERE YOU AT,2
OKAY AND IS HE OLDER THAN YOU,2
HE CLIMBED INTO YOUR BED WHEN DID HE DO THAT,2
NO OKAY SO YOU HAVEN'T SPOKEN TO ANYONE ELSE,3
NEAR THE LIBRARY AT SCHOOL,3
OKAY AND THEN WHAT HAPPENED,1
